   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 581,         83801,           83227,          59045,      8730,        1682,       3121,        167910,             575,          35540,     8892,       4833,      3764
 582,         84361,           83786,          66462,      9279,        1676,       3222,        168490,             571,          36813,     8902,       4838,      3657
 583,         84648,           84072,          61787,      8978,        1664,       3367,        169071,             577,          35422,     8919,       4846,      3815
 584,         84660,           84083,          59660,      8822,        1653,       3942,        169653,             577,          34355,     8932,       4854,      3566
 585,         84829,           84251,          60385,      8885,        1661,       3457,        170236,             576,          34296,     8987,       4879,      3634
 586,         85383,           84804,          59801,      8832,        1688,       3203,        170820,             573,          35820,     8969,       4870,      3564
 587,         85563,           84983,          64698,      8559,        1715,       3687,        171405,             578,          39485,     9004,       4892,      3597
 588,         85869,           85288,          60842,      8467,        1735,       3339,        171991,             579,          35448,     9020,       4907,      3688
 589,         85964,           85382,          60498,      9079,        1706,       3528,        172578,             582,          36226,     9034,       4904,      3785
 590,         86545,           85962,          61649,      9069,        1698,       3289,        173166,             583,          36061,     9074,       4936,      3856
 591,         86889,           86305,          60551,      8936,        1737,       3316,        173755,             584,          35691,     9078,       4946,      3611
 592,         87434,           86849,          64449,      8798,        1714,       3240,        174345,             586,          36303,     9108,       4950,      3642
 593,         88020,           87434,          64316,      9260,        1692,       3385,        174936,             583,          36272,     9122,       4954,      3776
 594,         88607,           88020,          62739,      9077,        1719,       3217,        175528,             586,          36670,     9117,       4953,      3611
 595,         88848,           88260,          64176,      8636,        1740,       3639,        176121,             590,          36164,     9157,       4977,      4122
 596,         89092,           88503,          63481,      8777,        1713,       3404,        176715,             590,          36187,     9179,       4988,      3655
 597,         89542,           88952,          93306,      8862,        1695,       3461,        177310,             587,          37955,     9194,       5001,      4299
 598,         89606,           89015,          62476,      9341,        1740,       3392,        177906,             590,          37066,     9196,       4993,      3638
 599,         90146,           89554,          63459,      9273,        1737,       3430,        178503,             591,          37287,     9225,       5009,      4726
 600,         90335,           89742,          63482,      9025,        1767,       3224,        179101,             592,          36976,     9238,       5017,      3734
 601,         90453,           89859,          64995,      8823,        1773,       3161,        179700,             594,          37346,     9284,       5042,      3831
 602,         91004,           90409,          63737,      8938,        1737,       3203,        180300,             594,          37181,     9282,       5035,      3692
 603,         91169,           90573,          65027,      9216,        1777,       3829,        180901,             597,          38607,     9303,       5047,      3660
 604,         91532,           90935,          64966,      8785,        1750,       3299,        181503,             596,          37956,     9306,       5054,      3933
 605,         91625,           91027,          65987,      8861,        1714,       3185,        182106,             601,          37613,     9340,       5083,      3810
 606,         91984,           91385,          72126,      9265,        1736,       3649,        182710,             599,          41160,     9365,       5097,      3867
 607,         92069,           91469,          64050,      9651,        1721,       3409,        183315,             599,          38191,     9369,       5086,      3718
 608,         92359,           91758,          64420,      9069,        1780,       3388,        183921,             600,          40984,     9407,       5110,      4183
 609,         92845,           92243,          68740,      8899,        1761,       3309,        184528,             604,          38993,     9372,       5106,      4703
 610,         93129,           92526,          71889,      9180,        1779,       4133,        185136,             598,          38539,     9417,       5129,      3760
 611,         93522,           92918,          66530,      9248,        1791,       3503,        185745,             596,          39420,     9456,       5137,      4097
 612,         93986,           93381,          66397,      9168,        1770,       3413,        186355,             608,          38119,     9453,       5139,      3784
 613,         94534,           93928,          70671,      9399,        1743,       3724,        186966,             603,          40314,     9481,       5157,      3908
 614,         94804,           94197,          69498,      8622,        1787,       3171,        187578,             607,          38838,     9480,       5149,      3845
 615,         95077,           94469,          75034,      9049,        1770,       3459,        188191,             607,          39641,     9516,       5164,      3874
 616,         95460,           94851,          68512,      8953,        1782,       3312,        188805,             605,          38513,     9527,       5180,      3844
 617,         96021,           95411,          66827,      9361,        1787,       4421,        189420,             609,          38889,     9560,       5191,      3881
 618,         96432,           95821,          68039,      9082,        1821,       3820,        190036,             611,          44311,     9593,       5230,      4961
 619,         96635,           96023,          70810,      8920,        1804,       3328,        190653,             609,          39877,     9602,       5206,      4019
 620,         96646,           96033,          69040,      9091,        1827,       3458,        191271,             613,          39245,     9614,       5214,      4128
 621,         96968,           96354,          67814,      9352,        1827,       3343,        191890,             613,          39731,     9643,       5238,      4226
 622,         97064,           96449,          67472,      9125,        1820,       3779,        192510,             617,          40894,     9635,       5232,      4188
 623,         97511,           96895,          68299,      9300,        1805,       3337,        193131,             617,          39701,     9654,       5227,      4075
 624,         97696,           97079,          77699,      9185,        1858,       4321,        193753,             618,          39565,     9693,       5249,      3925
 625,         98147,           97529,          70017,      8943,        1825,       4030,        194376,             618,          40658,     9693,       5263,      3913
 626,         98681,           98062,          73376,      9826,        1827,       3795,        195000,             618,          40181,     9714,       5278,      3994
 627,         98758,           98138,          71463,      9341,        1847,       3556,        195625,             622,          40718,     9728,       5285,      3981
 628,         98851,           98230,          69943,      9857,        1811,       3580,        196251,             620,          41467,     9760,       5292,      3958
 629,         99176,           98554,          68523,      9470,        1797,       3456,        196878,             622,          40835,     9775,       5299,      4236
 630,         99581,           98958,          70549,      9757,        1811,       3627,        197506,             622,          41315,     9802,       5317,      4005
 631,         99958,           99334,          71345,      9625,        1868,       3563,        198135,             621,          40284,     9813,       5313,      4229
 632,        100110,           99485,          69524,      9586,        1863,       3327,        198765,             627,          40442,     9831,       5340,      4177
 633,        100431,           99805,          80058,      9526,        1837,       3457,        199396,             625,          41632,     9836,       5340,      4121
 634,        100917,          100290,          70671,      9419,        1840,       3471,        200028,             631,          41613,     9861,       5370,      4188
 635,        101111,          100483,          70746,      9747,        1819,       3483,        200661,             625,          47493,     9881,       5365,      4009
 636,        101651,          101022,          72502,      9386,        1894,       3382,        201295,             625,          41219,     9890,       5357,      4268
 637,        101765,          101135,          70777,      9680,        1854,       3545,        201930,             629,          42599,     9929,       5387,      4353
 638,        102066,          101435,          70964,      9115,        1888,       3224,        202566,             628,          42114,     9943,       5400,      4148
 639,        102544,          101912,          71976,      9669,        1876,       3503,        203203,             630,          42435,     9968,       5420,      4340
 640,        102630,          101997,          72049,      9878,        1861,       3644,        203841,             631,          42837,     9977,       5406,      4278
 641,        102873,          102239,          71971,      9722,        1881,       3672,        204480,             634,          41874,     9990,       5419,      4205
 642,        103274,          102639,          80992,      9568,        1908,       3812,        205120,             636,          41925,    10011,       5436,      3963
 643,        103632,          102996,          72019,      9574,        1890,       3530,        205761,             635,          43797,    10024,       5437,      4053
