    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
  163,          7370,            7216,           5060,      1942,         415,        930,         13041,             157,           2900,     1869,       1039,       780
  164,          7450,            7295,           5068,      2168,         404,        800,         13203,             158,           2489,     1886,       1044,       778
  165,          7518,            7362,           5781,      1942,         405,        738,         13366,             155,           2545,     1894,       1052,       787
  166,          7531,            7374,           5432,      1926,         408,        729,         13530,             158,           2882,     1918,       1067,      1036
  167,          7665,            7507,           5417,      1994,         419,        729,         13695,             156,           2710,     1922,       1054,       769
  168,          7706,            7547,           5275,      1940,         427,        940,         13861,             159,           2896,     1945,       1071,      1025
  169,          7869,            7709,           5661,      1962,         413,        723,         14028,             161,           2713,     1958,       1087,       791
  170,          8020,            7859,           6107,      1969,         437,        747,         14196,             163,           2825,     1962,       1087,       797
  171,          8059,            7897,           5432,      1917,         430,        759,         14365,             163,           3033,     1979,       1088,       804
  172,          8230,            8067,           6214,      2011,         442,        769,         14535,             169,           2798,     2013,       1102,       821
  173,          8277,            8113,           5841,      1967,         433,        765,         14706,             167,           2966,     2029,       1125,       914
  174,          8284,            8119,           5502,      1956,         442,        786,         14878,             169,           2984,     2050,       1138,       835
  175,          8424,            8258,           5854,      2025,         442,        750,         15051,             171,           2938,     2059,       1139,       856
  176,          8540,            8373,           5744,      2076,         444,        780,         15225,             172,           2957,     2075,       1140,       834
  177,          8671,            8503,           5875,      2004,         439,        742,         15400,             167,           2986,     2085,       1152,       925
  178,          8716,            8547,           5780,      2051,         448,        758,         15576,             175,           3570,     2100,       1159,       993
  179,          8880,            8710,           6557,      2204,         453,        814,         15753,             175,           3022,     2097,       1150,       870
  180,          8931,            8760,           6171,      2115,         447,        816,         15931,             172,           3087,     2120,       1173,       890
  181,          9031,            8859,           6110,      2077,         453,        939,         16110,             172,           3344,     2138,       1174,       891
  182,          9080,            8907,           6390,      2110,         451,        805,         16290,             173,           3144,     2147,       1189,       870
  183,          9160,            8986,           6352,      2135,         449,        778,         16471,             173,           3290,     2168,       1203,       901
  184,          9288,            9113,           6153,      2097,         470,        805,         16653,             176,           3204,     2173,       1198,       899
  185,          9450,            9274,           7039,      2093,         457,        821,         16836,             177,           3245,     2193,       1217,       906
  186,          9606,            9429,           6488,      2165,         485,        915,         17020,             178,           3338,     2210,       1218,       907
  187,          9741,            9563,           6567,      2286,         473,        863,         17205,             181,           3526,     2227,       1230,      1023
  188,          9829,            9650,           7088,      2282,         482,        848,         17391,             179,           3406,     2236,       1239,       930
  189,          9859,            9679,           7391,      2262,         479,        958,         17578,             184,           3375,     2260,       1249,       917
  190,         10010,            9829,           6708,      2204,         484,        842,         17766,             181,           3589,     2264,       1243,       939
  191,         10168,            9986,           7228,      2322,         494,        868,         17955,             185,           3425,     2279,       1248,      1031
  192,         10315,           10132,           7556,      2337,         488,        922,         18145,             188,           3596,     2306,       1276,       929
  193,         10352,           10168,           7435,      2218,         497,        847,         18336,             184,           3687,     2319,       1283,      1127
  194,         10534,           10349,           7180,      2465,         499,        891,         18528,             188,           3579,     2329,       1286,       969
  195,         10612,           10426,           7096,      2422,         495,        908,         18721,             187,           3915,     2341,       1290,       959
  196,         10798,           10611,           7529,      2411,         500,        987,         18915,             190,           3631,     2353,       1303,       978
  197,         10805,           10617,           7746,      2384,         491,        915,         19110,             193,           3662,     2366,       1310,       985
  198,         10912,           10723,           7664,      2342,         519,        905,         19306,             193,           3916,     2373,       1318,      1017
  199,         11104,           10914,           8511,      2394,         525,       1004,         19503,             193,           3908,     2384,       1319,      1103
  200,         11188,           10997,           8085,      2326,         509,       1367,         19701,             192,           4806,     2411,       1337,      1101
  201,         11295,           11103,           9866,      2537,         495,       1051,         19900,             197,           5133,     2422,       1335,      1076
  202,         11493,           11300,           8308,      2452,         526,       1243,         20100,             189,           3908,     2437,       1340,      1017
  203,         11670,           11476,           7994,      2440,         533,        931,         20301,             194,           4386,     2460,       1354,      1098
  204,         11773,           11578,           9688,      2446,         520,        912,         20503,             196,           4430,     2464,       1358,      1203
  205,         11853,           11657,           8490,      2502,         526,        914,         20706,             198,           4548,     2493,       1376,      1036
  206,         12038,           11841,           8176,      2527,         525,       1073,         20910,             201,           4476,     2522,       1400,      1487
  207,         12240,           12042,           8438,      2471,         517,       1064,         21115,             199,           4120,     2525,       1383,      1484
  208,         12431,           12232,           8636,      2583,         527,       1159,         21321,             204,           4344,     2549,       1407,      1042
  209,         12616,           12416,           9316,      2557,         527,        946,         21528,             196,           4141,     2570,       1421,      1069
  210,         12629,           12428,           9277,      2474,         539,       1209,         21736,             200,           4133,     2582,       1428,      1111
  211,         12811,           12609,           9512,      2652,         534,        996,         21945,             202,           4185,     2605,       1435,      1049
  212,         12986,           12783,           9208,      2597,         550,        953,         22155,             209,           4201,     2610,       1441,      1075
  213,         13085,           12881,           9602,      2614,         554,        994,         22366,             207,           4258,     2635,       1455,      1064
  214,         13298,           13094,           9496,      2580,         553,        986,         22578,             203,           4644,     2643,       1454,      1132
  215,         13479,           13274,           9373,      2556,         551,        939,         22791,             206,           4525,     2655,       1464,      1075
  216,         13501,           13295,           9772,      2533,         570,        969,         23005,             208,           4769,     2669,       1468,      1106
  217,         13520,           13313,           9856,      2540,         571,       1256,         23220,             211,           4981,     2680,       1469,      1109
  218,         13658,           13450,          10314,      2643,         562,        967,         23436,             211,           4428,     2707,       1498,      1095
  219,         13828,           13619,          10120,      2674,         570,       1018,         23653,             212,           4482,     2706,       1495,      1377
  220,         13979,           13769,          10056,      2694,         567,       1020,         23871,             213,           4492,     2718,       1503,      1141
  221,         13996,           13785,          10238,      2632,         587,       1012,         24090,             215,           4646,     2731,       1502,      1101
  222,         14186,           13974,          10291,      2802,         576,       1018,         24310,             217,           4654,     2764,       1519,      1145
  223,         14331,           14118,          10516,      2707,         575,       1010,         24531,             214,           4627,     2775,       1527,      1452
  224,         14450,           14236,          10507,      2777,         581,       1053,         24753,             216,           4985,     2791,       1537,      1345
  225,         14556,           14341,           9922,      2847,         573,       1083,         24976,             218,           5061,     2797,       1546,      1166
  226,         14579,           14363,          10511,      2812,         589,       1143,         25200,             221,           5217,     2817,       1549,      1168
  227,         14687,           14470,          10437,      2887,         578,       1039,         25425,             219,           5306,     2819,       1554,      1142
  228,         14875,           14657,          10127,      2771,         597,       1362,         25651,             224,           4952,     2846,       1575,      1201
  229,         15096,           14877,          11284,      3060,         590,       1160,         25878,             225,           4879,     2865,       1583,      1159
  230,         15106,           14886,          11005,      2803,         607,       1029,         26106,             221,           4913,     2887,       1599,      1602
  231,         15206,           14985,          10600,      3001,         593,       1120,         26335,             222,           4976,     2893,       1596,      1165
  232,         15281,           15059,          10769,      2844,         590,       1085,         26565,             225,           5146,     2918,       1613,      1213
  233,         15335,           15112,          11098,      2843,         612,       1080,         26796,             227,           5094,     2933,       1613,      1500
  234,         15443,           15219,          10457,      2900,         615,       1111,         27028,             228,           6104,     2938,       1624,      1222
  235,         15531,           15306,          10571,      2886,         610,       1178,         27261,             227,           6449,     2959,       1630,      1270
  236,         15572,           15346,          11170,      2892,         605,       1123,         27495,             230,           5196,     2986,       1641,      1197
  237,         15760,           15533,          11285,      2882,         601,       1091,         27730,             232,           5218,     2986,       1642,      1252
  238,         15811,           15583,          11246,      2847,         613,       1048,         27966,             225,           5366,     3008,       1657,      1252
  239,         16049,           15821,          11117,      3242,         611,       1168,         28203,             227,           5298,     3023,       1661,      1458
  240,         16220,           15991,          11401,      2937,         624,       1117,         28441,             231,           5821,     3037,       1669,      1246
  241,         16440,           16210,          11076,      3104,         620,       1516,         28680,             231,           5747,     3051,       1674,      1261
  242,         16528,           16297,          12580,      3022,         628,       1355,         28920,             234,           6017,     3074,       1696,      1421
  243,         16615,           16383,          12003,      3001,         645,       1201,         29161,             237,           5780,     3073,       1691,      1272
